                      OLS Regression Results                      
Dep. Variable:   ,y               ,  R-squared:         ,   0.751 
Model:           ,OLS             ,  Adj. R-squared:    ,   0.742 
Method:          ,Least Squares   ,  F-statistic:       ,   84.23 
Date:            ,Fri, 09 Mar 2018,  Prob (F-statistic):,5.25e-154
Time:            ,19:47:55        ,  Log-Likelihood:    , -4413.9 
No. Observations:,   579          ,  AIC:               ,   8868. 
Df Residuals:    ,   559          ,  BIC:               ,   8955. 
Df Model:        ,    20          ,                     ,         
Covariance Type: ,nonrobust       ,                     ,         
   ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x1 , -6.88e-06,  2.7e-05,   -0.255, 0.799,-5.99e-05, 4.62e-05
x2 , 2.373e-05, 3.61e-05,    0.657, 0.511,-4.72e-05, 9.47e-05
x3 ,    0.1025,    0.136,    0.752, 0.452,   -0.165,    0.370
x4 ,   -0.1159,    0.067,   -1.743, 0.082,   -0.247,    0.015
x5 ,   -1.1691,    4.491,   -0.260, 0.795,   -9.990,    7.652
x6 ,   -0.0001, 2.66e-05,   -4.972, 0.000,   -0.000,-7.99e-05
x7 ,    0.0002, 3.54e-05,    4.885, 0.000,    0.000,    0.000
x8 ,    1.1026,    0.126,    8.727, 0.000,    0.854,    1.351
x9 ,   -0.4101,    0.062,   -6.634, 0.000,   -0.532,   -0.289
x10,    0.3907,    6.064,    0.064, 0.949,  -11.520,   12.302
x11, 9.012e-05, 2.55e-05,    3.530, 0.000,    4e-05,    0.000
x12,-9.021e-05, 3.47e-05,   -2.602, 0.010,   -0.000,-2.21e-05
x13,   -0.6909,    0.136,   -5.084, 0.000,   -0.958,   -0.424
x14,    0.3705,    0.062,    6.006, 0.000,    0.249,    0.492
x15,    0.7385,    6.093,    0.121, 0.904,  -11.229,   12.706
x16, 6.346e-05, 2.55e-05,    2.488, 0.013, 1.34e-05,    0.000
x17,-7.014e-05, 3.46e-05,   -2.025, 0.043,   -0.000,-2.09e-06
x18,    0.6059,    0.142,    4.258, 0.000,    0.326,    0.885
x19,   -0.0956,    0.064,   -1.485, 0.138,   -0.222,    0.031
x20,    4.1602,    4.630,    0.899, 0.369,   -4.934,   13.254
Omnibus:      ,882.225,  Durbin-Watson:     ,   2.030  
Prob(Omnibus):, 0.000 ,  Jarque-Bera (JB):  ,443827.203
Skew:         , 8.233 ,  Prob(JB):          ,    0.00  
Kurtosis:     ,137.632,  Cond. No.          ,3.14e+06  
