                      OLS Regression Results                      
Dep. Variable:   ,y               ,  R-squared:         ,   0.895 
Model:           ,OLS             ,  Adj. R-squared:    ,   0.890 
Method:          ,Least Squares   ,  F-statistic:       ,   179.7 
Date:            ,Fri, 09 Mar 2018,  Prob (F-statistic):,1.78e-192
Time:            ,19:47:55        ,  Log-Likelihood:    , -2726.3 
No. Observations:,   443          ,  AIC:               ,   5493. 
Df Residuals:    ,   423          ,  BIC:               ,   5574. 
Df Model:        ,    20          ,                     ,         
Covariance Type: ,nonrobust       ,                     ,         
   ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x1 ,    0.0002,    0.000,    0.695, 0.488,   -0.000,    0.001
x2 ,   -0.0001,    0.000,   -0.585, 0.559,   -0.001,    0.000
x3 ,   -0.1649,    0.276,   -0.599, 0.550,   -0.707,    0.377
x4 ,   -0.2800,    0.170,   -1.645, 0.101,   -0.614,    0.055
x5 ,   -0.0375,    1.137,   -0.033, 0.974,   -2.273,    2.198
x6 ,    0.0018,    0.000,    8.099, 0.000,    0.001,    0.002
x7 ,   -0.0017,    0.000,   -8.069, 0.000,   -0.002,   -0.001
x8 ,   -2.5151,    0.199,  -12.619, 0.000,   -2.907,   -2.123
x9 ,    1.0995,    0.184,    5.968, 0.000,    0.737,    1.462
x10,    0.4842,    1.514,    0.320, 0.749,   -2.492,    3.460
x11,   -0.0007,    0.000,   -2.769, 0.006,   -0.001,   -0.000
x12,    0.0009,    0.000,    3.785, 0.000,    0.000,    0.001
x13,   -0.7589,    0.203,   -3.738, 0.000,   -1.158,   -0.360
x14,    1.0794,    0.242,    4.456, 0.000,    0.603,    1.556
x15,   -0.3405,    1.517,   -0.224, 0.822,   -3.322,    2.641
x16,    0.0031,    0.000,   13.012, 0.000,    0.003,    0.004
x17,   -0.0029,    0.000,  -12.911, 0.000,   -0.003,   -0.002
x18,   -0.0985,    0.278,   -0.354, 0.724,   -0.646,    0.449
x19,   -1.9049,    0.227,   -8.405, 0.000,   -2.350,   -1.459
x20,    1.2198,    1.145,    1.065, 0.287,   -1.031,    3.470
Omnibus:      ,709.699,  Durbin-Watson:     ,   1.917  
Prob(Omnibus):, 0.000 ,  Jarque-Bera (JB):  ,355484.440
Skew:         , 8.741 ,  Prob(JB):          ,    0.00  
Kurtosis:     ,140.670,  Cond. No.          ,2.80e+05  
