                      OLS Regression Results                      
Dep. Variable:   ,y               ,  R-squared:         ,   0.863 
Model:           ,OLS             ,  Adj. R-squared:    ,   0.858 
Method:          ,Least Squares   ,  F-statistic:       ,   163.3 
Date:            ,Fri, 09 Mar 2018,  Prob (F-statistic):,1.76e-208
Time:            ,19:47:55        ,  Log-Likelihood:    , -5206.9 
No. Observations:,   537          ,  AIC:               ,1.045e+04
Df Residuals:    ,   517          ,  BIC:               ,1.054e+04
Df Model:        ,    20          ,                     ,         
Covariance Type: ,nonrobust       ,                     ,         
   ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x1 ,-5.512e-05, 1.67e-05,   -3.310, 0.001,-8.78e-05,-2.24e-05
x2 , 2.759e-05, 6.42e-05,    0.430, 0.667,-9.84e-05,    0.000
x3 ,    0.3907,    0.143,    2.725, 0.007,    0.109,    0.672
x4 ,    0.1335,    0.098,    1.359, 0.175,   -0.059,    0.326
x5 ,  -14.5368,   36.733,   -0.396, 0.692,  -86.702,   57.628
x6 ,-1.001e-05, 1.76e-05,   -0.570, 0.569,-4.45e-05, 2.45e-05
x7 , 7.997e-05, 6.27e-05,    1.276, 0.202,-4.31e-05,    0.000
x8 ,    0.1702,    0.132,    1.285, 0.199,   -0.090,    0.430
x9 ,   -0.1212,    0.103,   -1.173, 0.241,   -0.324,    0.082
x10,   -5.3365,   49.673,   -0.107, 0.914, -102.923,   92.250
x11, 3.996e-05, 1.72e-05,    2.325, 0.020,  6.2e-06, 7.37e-05
x12, 3.159e-05, 6.05e-05,    0.522, 0.602,-8.73e-05,    0.000
x13,   -0.2719,    0.122,   -2.233, 0.026,   -0.511,   -0.033
x14,   -0.0861,    0.103,   -0.838, 0.402,   -0.288,    0.116
x15,    6.9253,   49.735,    0.139, 0.889,  -90.781,  104.632
x16,   -0.0001, 1.87e-05,   -5.431, 0.000,   -0.000,-6.48e-05
x17,    0.0003, 7.07e-05,    4.389, 0.000,    0.000,    0.000
x18,    0.7352,    0.116,    6.327, 0.000,    0.507,    0.963
x19,    0.3869,    0.104,    3.710, 0.000,    0.182,    0.592
x20,  -12.3560,   37.097,   -0.333, 0.739,  -85.235,   60.523
Omnibus:      ,1217.811,  Durbin-Watson:     ,   1.952   
Prob(Omnibus):, 0.000  ,  Jarque-Bera (JB):  ,3576948.412
Skew:         ,18.562  ,  Prob(JB):          ,    0.00   
Kurtosis:     ,401.102 ,  Cond. No.          ,6.27e+07   
