                      OLS Regression Results                     
Dep. Variable:   ,y               ,  R-squared:         ,   0.590
Model:           ,OLS             ,  Adj. R-squared:    ,   0.575
Method:          ,Least Squares   ,  F-statistic:       ,   39.37
Date:            ,Fri, 09 Mar 2018,  Prob (F-statistic):,2.49e-92
Time:            ,19:47:55        ,  Log-Likelihood:    , -4663.8
No. Observations:,   568          ,  AIC:               ,   9368.
Df Residuals:    ,   548          ,  BIC:               ,   9454.
Df Model:        ,    20          ,                     ,        
Covariance Type: ,nonrobust       ,                     ,        
   ,   coef   , std err ,    t    ,P>|t| ,  [0.025 ,  0.975] 
x1 ,   -0.0004, 8.79e-05,   -4.145, 0.000,   -0.001,   -0.000
x2 ,    0.0005,    0.000,    3.366, 0.001,    0.000,    0.001
x3 ,    0.2921,    0.187,    1.558, 0.120,   -0.076,    0.660
x4 ,    0.1064,    0.049,    2.192, 0.029,    0.011,    0.202
x5 ,   -7.0220,    8.269,   -0.849, 0.396,  -23.264,    9.220
x6 ,   -0.0003, 9.15e-05,   -3.087, 0.002,   -0.000,   -0.000
x7 ,    0.0001,    0.000,    0.682, 0.496,   -0.000,    0.000
x8 ,    1.2356,    0.201,    6.150, 0.000,    0.841,    1.630
x9 ,   -0.1999,    0.055,   -3.666, 0.000,   -0.307,   -0.093
x10,    1.4696,   11.245,    0.131, 0.896,  -20.620,   23.559
x11,    0.0002, 8.81e-05,    2.727, 0.007, 6.72e-05,    0.000
x12,   -0.0005,    0.000,   -2.908, 0.004,   -0.001,   -0.000
x13,   -0.6397,    0.200,   -3.206, 0.001,   -1.032,   -0.248
x14,    0.1608,    0.058,    2.761, 0.006,    0.046,    0.275
x15,    2.6224,   11.164,    0.235, 0.814,  -19.308,   24.553
x16,   -0.0001, 8.67e-05,   -1.445, 0.149,   -0.000,  4.5e-05
x17,-7.491e-05,    0.000,   -0.443, 0.658,   -0.000,    0.000
x18,    1.2548,    0.191,    6.554, 0.000,    0.879,    1.631
x19,   -0.2628,    0.055,   -4.817, 0.000,   -0.370,   -0.156
x20,   11.4997,    8.221,    1.399, 0.162,   -4.649,   27.649
Omnibus:      ,806.482,  Durbin-Watson:     ,   2.041  
Prob(Omnibus):, 0.000 ,  Jarque-Bera (JB):  ,395042.046
Skew:         , 7.097 ,  Prob(JB):          ,    0.00  
Kurtosis:     ,131.415,  Cond. No.          ,1.83e+06  
